vehicle_id,vehicle_type,firmware_version
1001048649,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023672,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001016366,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023021,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017929,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001021499,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1101010597,standup scooter,AfYytuJIqERCPvAZ49VTAQ==
1101010326,standup scooter,AfYytuJIqERCPvAZ49VTAQ==
1101010690,standup scooter,AfYytuJIqERCPvAZ49VTAQ==
1101010587,standup scooter,AfYytuJIqERCPvAZ49VTAQ==
51123550,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51124945,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51126254,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51124961,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51126829,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51124701,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51124964,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51124791,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51123385,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51123584,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51123624,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51126454,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51126790,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51120144,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51124468,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51124530,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51123790,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51123422,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51123600,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51124452,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51126946,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51124494,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51123444,standup scooter,BGVY5xSWxW8syZF86Nz26g==
51124503,standup scooter,BGVY5xSWxW8syZF86Nz26g==
1101038875,standup scooter,EKV5YeKo2Brwuwa+ClueWw==
1101035358,standup scooter,E5PhctB215m/8mp7S9AqsQ==
1101030572,standup scooter,E5PhctB215m/8mp7S9AqsQ==
1101030679,standup scooter,E5PhctB215m/8mp7S9AqsQ==
1101030895,standup scooter,LsqCzFI+ISmY2e9KuSa/kQ==
1001035846,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1101017571,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1001033471,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1101041209,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1001036685,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1101038931,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1001031539,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1001035473,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1101040887,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1001030230,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1001035310,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1001033699,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1001037256,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1001036523,standup scooter,MLQtKKc2D8p13jKs1MOtfg==
1101011914,standup scooter,N/WPGB8ShnZcI3IW+HdOog==
1101010965,standup scooter,N/WPGB8ShnZcI3IW+HdOog==
1101010911,standup scooter,N/WPGB8ShnZcI3IW+HdOog==
1101011116,standup scooter,N/WPGB8ShnZcI3IW+HdOog==
1101010717,standup scooter,N/6fxu18bF5c/Xfxz1jkYA==
1101010286,standup scooter,N/6fxu18bF5c/Xfxz1jkYA==
1101010603,standup scooter,N/6fxu18bF5c/Xfxz1jkYA==
1101010308,standup scooter,N/6fxu18bF5c/Xfxz1jkYA==
1101010722,standup scooter,N/6fxu18bF5c/Xfxz1jkYA==
51123449,standup scooter,OrZZm7FErHWwqDyKxgYYag==
51126276,standup scooter,OrZZm7FErHWwqDyKxgYYag==
51123638,standup scooter,OrZZm7FErHWwqDyKxgYYag==
51124603,standup scooter,OrZZm7FErHWwqDyKxgYYag==
51126295,standup scooter,OrZZm7FErHWwqDyKxgYYag==
51124398,standup scooter,OrZZm7FErHWwqDyKxgYYag==
1101036065,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
1101034983,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
1101030490,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
1101021116,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
1101035455,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
1101035459,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
1101030498,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
1101030497,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
1101030682,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
1101036695,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
1101035508,standup scooter,Sq1BcXIOVwTt/bFfKER/7A==
